,name,genre,type,episodes,rating,members
1915,Saiunkoku Monogatari Soushuuhen,Fantasy,Special,9,7.41,3263
1915,Saiunkoku Monogatari Soushuuhen,Historical,Special,9,7.41,3263
1915,Saiunkoku Monogatari Soushuuhen,Romance,Special,9,7.41,3263
1916,Selector Infected WIXOSS,Game,TV,12,7.41,80964
1916,Selector Infected WIXOSS,Psychological,TV,12,7.41,80964
1917,Slayers Great,Adventure,Movie,1,7.41,12760
1917,Slayers Great,Comedy,Movie,1,7.41,12760
1917,Slayers Great,Fantasy,Movie,1,7.41,12760
1917,Slayers Great,Magic,Movie,1,7.41,12760
1917,Slayers Great,Shounen,Movie,1,7.41,12760
1918,Souten Kouro,Action,TV,26,7.41,9852
1918,Souten Kouro,Adventure,TV,26,7.41,9852
1918,Souten Kouro,Historical,TV,26,7.41,9852
1919,Tabisuru Nuigurumi: Traveling Daru,Kids,OVA,1,7.41,2565
1919,Tabisuru Nuigurumi: Traveling Daru,Slice of Life,OVA,1,7.41,2565
1920,Tenchi Muyou! Ryououki 3rd Season,Action,OVA,6,7.41,12242
1920,Tenchi Muyou! Ryououki 3rd Season,Comedy,OVA,6,7.41,12242
1920,Tenchi Muyou! Ryououki 3rd Season,Harem,OVA,6,7.41,12242
1920,Tenchi Muyou! Ryououki 3rd Season,Sci-Fi,OVA,6,7.41,12242
1920,Tenchi Muyou! Ryououki 3rd Season,Shounen,OVA,6,7.41,12242
1920,Tenchi Muyou! Ryououki 3rd Season,Space,OVA,6,7.41,12242
1921,"The iDOLM@STER Cinderella Girls: Anytime, Anywhere with Cinderella.",Comedy,Special,1,7.41,2602
1921,"The iDOLM@STER Cinderella Girls: Anytime, Anywhere with Cinderella.",Drama,Special,1,7.41,2602
1921,"The iDOLM@STER Cinderella Girls: Anytime, Anywhere with Cinderella.",Music,Special,1,7.41,2602
1922,Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou,Comedy,Special,6,7.4,19758
1922,Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou,Romance,Special,6,7.4,19758
1922,Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou,School,Special,6,7.4,19758
1922,Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou,Super Power,Special,6,7.4,19758
1923,Canaan,Action,TV,13,7.4,123217
1923,Canaan,Seinen,TV,13,7.4,123217
1924,Cardfight!! Vanguard: Link Joker-hen,Action,TV,59,7.4,9075
1924,Cardfight!! Vanguard: Link Joker-hen,Adventure,TV,59,7.4,9075
1924,Cardfight!! Vanguard: Link Joker-hen,Demons,TV,59,7.4,9075
1924,Cardfight!! Vanguard: Link Joker-hen,Game,TV,59,7.4,9075
1924,Cardfight!! Vanguard: Link Joker-hen,Shounen,TV,59,7.4,9075
1925,Choujigen Game Neptune The Animation OVA,Action,OVA,1,7.4,16067
1925,Choujigen Game Neptune The Animation OVA,Comedy,OVA,1,7.4,16067
1925,Choujigen Game Neptune The Animation OVA,Fantasy,OVA,1,7.4,16067
1925,Choujigen Game Neptune The Animation OVA,Sci-Fi,OVA,1,7.4,16067
1926,Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan,Comedy,Movie,1,7.4,704
1926,Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan,Kids,Movie,1,7.4,704
1926,Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan,Shounen,Movie,1,7.4,704
1927,Digimon Adventure 02: Diablomon no Gyakushuu,Adventure,Movie,1,7.4,31961
1927,Digimon Adventure 02: Diablomon no Gyakushuu,Comedy,Movie,1,7.4,31961
1927,Digimon Adventure 02: Diablomon no Gyakushuu,Drama,Movie,1,7.4,31961
1927,Digimon Adventure 02: Diablomon no Gyakushuu,Kids,Movie,1,7.4,31961
1927,Digimon Adventure 02: Diablomon no Gyakushuu,Sci-Fi,Movie,1,7.4,31961
1929,Doraemon Movie 01: Nobita no Kyouryuu,Adventure,Movie,1,7.4,1773
1929,Doraemon Movie 01: Nobita no Kyouryuu,Comedy,Movie,1,7.4,1773
1931,Dragon Ball: Episode of Bardock,Action,Special,1,7.4,29030
1931,Dragon Ball: Episode of Bardock,Adventure,Special,1,7.4,29030
1931,Dragon Ball: Episode of Bardock,Comedy,Special,1,7.4,29030
1931,Dragon Ball: Episode of Bardock,Fantasy,Special,1,7.4,29030
1931,Dragon Ball: Episode of Bardock,Martial Arts,Special,1,7.4,29030
1931,Dragon Ball: Episode of Bardock,Sci-Fi,Special,1,7.4,29030
1931,Dragon Ball: Episode of Bardock,Shounen,Special,1,7.4,29030
1931,Dragon Ball: Episode of Bardock,Super Power,Special,1,7.4,29030
1932,Harukanaru Toki no Naka de: Maihitoyo,Drama,Movie,1,7.4,4019
1932,Harukanaru Toki no Naka de: Maihitoyo,Fantasy,Movie,1,7.4,4019
1932,Harukanaru Toki no Naka de: Maihitoyo,Historical,Movie,1,7.4,4019
1932,Harukanaru Toki no Naka de: Maihitoyo,Magic,Movie,1,7.4,4019
1932,Harukanaru Toki no Naka de: Maihitoyo,Romance,Movie,1,7.4,4019
1932,Harukanaru Toki no Naka de: Maihitoyo,Shoujo,Movie,1,7.4,4019
1932,Harukanaru Toki no Naka de: Maihitoyo,Supernatural,Movie,1,7.4,4019
1933,Ihatov Gensou: Kenji no Haru,Drama,Movie,1,7.4,3607
1933,Ihatov Gensou: Kenji no Haru,Historical,Movie,1,7.4,3607
1933,Ihatov Gensou: Kenji no Haru,Slice of Life,Movie,1,7.4,3607
1934,Inukami!,Comedy,TV,26,7.4,47882
1934,Inukami!,Ecchi,TV,26,7.4,47882
1934,Inukami!,Romance,TV,26,7.4,47882
1934,Inukami!,Shounen,TV,26,7.4,47882
1934,Inukami!,Supernatural,TV,26,7.4,47882
1935,Irregular Hunter X: The Day of Sigma,Action,OVA,1,7.4,6348
1935,Irregular Hunter X: The Day of Sigma,Mecha,OVA,1,7.4,6348
1935,Irregular Hunter X: The Day of Sigma,Sci-Fi,OVA,1,7.4,6348
1935,Irregular Hunter X: The Day of Sigma,Shounen,OVA,1,7.4,6348
1936,Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,Drama,TV,12,7.4,14911
1936,Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,Magic,TV,12,7.4,14911
1936,Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,Shounen,TV,12,7.4,14911
1936,Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,Slice of Life,TV,12,7.4,14911
1937,Mai-Otome,Comedy,TV,26,7.4,36924
1937,Mai-Otome,Drama,TV,26,7.4,36924
1937,Mai-Otome,Fantasy,TV,26,7.4,36924
1937,Mai-Otome,Magic,TV,26,7.4,36924
1938,Masuda Kousuke Gekijou Gag Manga Biyori,Comedy,TV,12,7.4,5423
1938,Masuda Kousuke Gekijou Gag Manga Biyori,Parody,TV,12,7.4,5423
1939,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?: Onsen Manyuuki,Fantasy,OVA,1,7.4,44450
1939,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?: Onsen Manyuuki,Supernatural,OVA,1,7.4,44450
1940,Musashi no Ken,Shounen,TV,72,7.4,971
1940,Musashi no Ken,Sports,TV,72,7.4,971
1941,Natsu no Arashi!,Comedy,TV,13,7.4,30098
1941,Natsu no Arashi!,Romance,TV,13,7.4,30098
1941,Natsu no Arashi!,Supernatural,TV,13,7.4,30098
1942,Nazo no Kanojo X,Ecchi,TV,13,7.4,99788
1942,Nazo no Kanojo X,Romance,TV,13,7.4,99788
1942,Nazo no Kanojo X,School,TV,13,7.4,99788
1942,Nazo no Kanojo X,Seinen,TV,13,7.4,99788
1943,Nogizaka Haruka no Himitsu: Finale,Comedy,OVA,4,7.4,20660
1943,Nogizaka Haruka no Himitsu: Finale,Romance,OVA,4,7.4,20660
1944,Onegai My Melody: Kuru Kuru Shuffle!,Comedy,TV,52,7.4,1962
1944,Onegai My Melody: Kuru Kuru Shuffle!,Fantasy,TV,52,7.4,1962
1944,Onegai My Melody: Kuru Kuru Shuffle!,Magic,TV,52,7.4,1962
1945,Pokemon Advanced Generation: Mew to Hadou no Yuusha Lucario,Action,Movie,1,7.4,46887
1945,Pokemon Advanced Generation: Mew to Hadou no Yuusha Lucario,Adventure,Movie,1,7.4,46887
1945,Pokemon Advanced Generation: Mew to Hadou no Yuusha Lucario,Drama,Movie,1,7.4,46887
1945,Pokemon Advanced Generation: Mew to Hadou no Yuusha Lucario,Fantasy,Movie,1,7.4,46887
1945,Pokemon Advanced Generation: Mew to Hadou no Yuusha Lucario,Kids,Movie,1,7.4,46887
1946,Ramayana: The Legend of Prince Rama,Adventure,Movie,1,7.4,517
1947,Rockman.EXE Movie: Hikari to Yami no Program,Action,Movie,1,7.4,2562
1947,Rockman.EXE Movie: Hikari to Yami no Program,Adventure,Movie,1,7.4,2562
1947,Rockman.EXE Movie: Hikari to Yami no Program,Game,Movie,1,7.4,2562
1947,Rockman.EXE Movie: Hikari to Yami no Program,Kids,Movie,1,7.4,2562
1948,Seitokai no Ichizon Lv.2: Watasu Seitokai,Comedy,OVA,1,7.4,11554
1948,Seitokai no Ichizon Lv.2: Watasu Seitokai,Harem,OVA,1,7.4,11554
1948,Seitokai no Ichizon Lv.2: Watasu Seitokai,Parody,OVA,1,7.4,11554
1948,Seitokai no Ichizon Lv.2: Watasu Seitokai,School,OVA,1,7.4,11554
1949,Sekirei,Action,TV,12,7.4,182713
1949,Sekirei,Comedy,TV,12,7.4,182713
1949,Sekirei,Ecchi,TV,12,7.4,182713
1949,Sekirei,Harem,TV,12,7.4,182713
1949,Sekirei,Super Power,TV,12,7.4,182713
1950,Sekirei: Pure Engagement - Kanwa ni Dai,Comedy,Special,1,7.4,26719
1950,Sekirei: Pure Engagement - Kanwa ni Dai,Ecchi,Special,1,7.4,26719
1950,Sekirei: Pure Engagement - Kanwa ni Dai,Harem,Special,1,7.4,26719
1951,Senjou no Valkyria 3: Tagatame no Juusou,Action,OVA,2,7.4,9847
1951,Senjou no Valkyria 3: Tagatame no Juusou,Fantasy,OVA,2,7.4,9847
1951,Senjou no Valkyria 3: Tagatame no Juusou,Military,OVA,2,7.4,9847
1952,Tetsuwan Birdy Decode: The Cipher,Action,OVA,1,7.4,12944
1952,Tetsuwan Birdy Decode: The Cipher,Comedy,OVA,1,7.4,12944
1952,Tetsuwan Birdy Decode: The Cipher,Sci-Fi,OVA,1,7.4,12944
1953,The Sky Crawlers,Drama,Movie,1,7.4,32660
1953,The Sky Crawlers,Military,Movie,1,7.4,32660
1954,The Third: Aoi Hitomi no Shoujo,Action,TV,24,7.4,14304
1954,The Third: Aoi Hitomi no Shoujo,Adventure,TV,24,7.4,14304
1954,The Third: Aoi Hitomi no Shoujo,Sci-Fi,TV,24,7.4,14304
1954,The Third: Aoi Hitomi no Shoujo,Seinen,TV,24,7.4,14304
1955,Vampire Knight,Drama,TV,13,7.4,286826
1955,Vampire Knight,Mystery,TV,13,7.4,286826
1955,Vampire Knight,Romance,TV,13,7.4,286826
1955,Vampire Knight,Shoujo,TV,13,7.4,286826
1955,Vampire Knight,Supernatural,TV,13,7.4,286826
1955,Vampire Knight,Vampire,TV,13,7.4,286826
1956,Witchblade,Action,TV,24,7.4,64697
1956,Witchblade,Sci-Fi,TV,24,7.4,64697
1956,Witchblade,Super Power,TV,24,7.4,64697
1957,Wonderful Rush,Music,Music,1,7.4,6807
1958,After War Gundam X,Adventure,TV,39,7.39,19132
1958,After War Gundam X,Drama,TV,39,7.39,19132
1958,After War Gundam X,Mecha,TV,39,7.39,19132
1958,After War Gundam X,Sci-Fi,TV,39,7.39,19132
1958,After War Gundam X,Space,TV,39,7.39,19132
1959,Air Movie,Drama,Movie,1,7.39,44179
1959,Air Movie,Romance,Movie,1,7.39,44179
1959,Air Movie,Supernatural,Movie,1,7.39,44179
1960,Atashin&#039;chi,Comedy,TV,330,7.39,1524
1960,Atashin&#039;chi,Slice of Life,TV,330,7.39,1524
1961,Bishoujo Senshi Sailor Moon: Sailor Stars - Hero Club,Adventure,OVA,3,7.39,4238
1961,Bishoujo Senshi Sailor Moon: Sailor Stars - Hero Club,Comedy,OVA,3,7.39,4238
1961,Bishoujo Senshi Sailor Moon: Sailor Stars - Hero Club,Drama,OVA,3,7.39,4238
1961,Bishoujo Senshi Sailor Moon: Sailor Stars - Hero Club,Fantasy,OVA,3,7.39,4238
1961,Bishoujo Senshi Sailor Moon: Sailor Stars - Hero Club,Magic,OVA,3,7.39,4238
1961,Bishoujo Senshi Sailor Moon: Sailor Stars - Hero Club,Romance,OVA,3,7.39,4238
1961,Bishoujo Senshi Sailor Moon: Sailor Stars - Hero Club,Shoujo,OVA,3,7.39,4238
1962,Doraemon Movie 17: Nobita to Ginga Express,Fantasy,Movie,1,7.39,1342
1963,Doraemon: 2112-nen Doraemon Tanjou,Comedy,Movie,1,7.39,1277
1963,Doraemon: 2112-nen Doraemon Tanjou,Fantasy,Movie,1,7.39,1277
1963,Doraemon: 2112-nen Doraemon Tanjou,Kids,Movie,1,7.39,1277
1964,Doraemon: Doraemon Comes Back,Comedy,Special,1,7.39,723
1964,Doraemon: Doraemon Comes Back,Fantasy,Special,1,7.39,723
1964,Doraemon: Doraemon Comes Back,Kids,Special,1,7.39,723
1964,Doraemon: Doraemon Comes Back,Sci-Fi,Special,1,7.39,723
1964,Doraemon: Doraemon Comes Back,Shounen,Special,1,7.39,723
1965,Druaga no Tou: The Sword of Uruk,Adventure,TV,12,7.39,46237
1965,Druaga no Tou: The Sword of Uruk,Fantasy,TV,12,7.39,46237
1966,Fate/kaleid liner Prisma☆Illya 2wei Herz!,Action,TV,10,7.39,42499
1966,Fate/kaleid liner Prisma☆Illya 2wei Herz!,Comedy,TV,10,7.39,42499
1966,Fate/kaleid liner Prisma☆Illya 2wei Herz!,Fantasy,TV,10,7.39,42499
1966,Fate/kaleid liner Prisma☆Illya 2wei Herz!,Magic,TV,10,7.39,42499
1966,Fate/kaleid liner Prisma☆Illya 2wei Herz!,Slice of Life,TV,10,7.39,42499
1967,Fullmetal Alchemist: Reflections,Adventure,Special,1,7.39,24987
1967,Fullmetal Alchemist: Reflections,Comedy,Special,1,7.39,24987
1967,Fullmetal Alchemist: Reflections,Drama,Special,1,7.39,24987
1967,Fullmetal Alchemist: Reflections,Fantasy,Special,1,7.39,24987
1967,Fullmetal Alchemist: Reflections,Military,Special,1,7.39,24987
1967,Fullmetal Alchemist: Reflections,Shounen,Special,1,7.39,24987
1968,Genius Party,Action,Movie,7,7.39,18612
1968,Genius Party,Dementia,Movie,7,7.39,18612
1968,Genius Party,Fantasy,Movie,7,7.39,18612
1968,Genius Party,Mecha,Movie,7,7.39,18612
1968,Genius Party,Music,Movie,7,7.39,18612
1968,Genius Party,Psychological,Movie,7,7.39,18612
1968,Genius Party,Romance,Movie,7,7.39,18612
1968,Genius Party,Sci-Fi,Movie,7,7.39,18612
1969,Genius Party Beyond,Dementia,Movie,5,7.39,10660
1969,Genius Party Beyond,Fantasy,Movie,5,7.39,10660
1969,Genius Party Beyond,Music,Movie,5,7.39,10660
1969,Genius Party Beyond,Sci-Fi,Movie,5,7.39,10660
1970,Gosenzo-sama Banbanzai!,Comedy,OVA,6,7.39,2095
1970,Gosenzo-sama Banbanzai!,Sci-Fi,OVA,6,7.39,2095
1971,H2,Comedy,TV,41,7.39,4450
1971,H2,Romance,TV,41,7.39,4450
1971,H2,Shounen,TV,41,7.39,4450
1971,H2,Sports,TV,41,7.39,4450
1972,Haha wo Tazunete Sanzenri,Adventure,TV,52,7.39,3685
1972,Haha wo Tazunete Sanzenri,Drama,TV,52,7.39,3685
1972,Haha wo Tazunete Sanzenri,Historical,TV,52,7.39,3685
1972,Haha wo Tazunete Sanzenri,Slice of Life,TV,52,7.39,3685
1973,Haikara-san ga Tooru,Drama,TV,42,7.39,1155
1973,Haikara-san ga Tooru,Historical,TV,42,7.39,1155
1973,Haikara-san ga Tooru,Romance,TV,42,7.39,1155
1973,Haikara-san ga Tooru,Shoujo,TV,42,7.39,1155
1973,Haikara-san ga Tooru,Slice of Life,TV,42,7.39,1155
1974,Hunter x Hunter Movie: Phantom Rouge,Action,Movie,1,7.39,44589
1974,Hunter x Hunter Movie: Phantom Rouge,Adventure,Movie,1,7.39,44589
1974,Hunter x Hunter Movie: Phantom Rouge,Shounen,Movie,1,7.39,44589
1974,Hunter x Hunter Movie: Phantom Rouge,Super Power,Movie,1,7.39,44589
1975,Kaidan Restaurant,Horror,TV,23,7.39,9994
1975,Kaidan Restaurant,Kids,TV,23,7.39,9994
1975,Kaidan Restaurant,Mystery,TV,23,7.39,9994
1975,Kaidan Restaurant,Supernatural,TV,23,7.39,9994
1976,Koutetsujou no Kabaneri,Action,TV,12,7.39,253027
1976,Koutetsujou no Kabaneri,Drama,TV,12,7.39,253027
1976,Koutetsujou no Kabaneri,Fantasy,TV,12,7.39,253027
1976,Koutetsujou no Kabaneri,Horror,TV,12,7.39,253027
1977,Kuroshitsuji Picture Drama,Demons,Special,1,7.39,12446
1977,Kuroshitsuji Picture Drama,Supernatural,Special,1,7.39,12446
1978,Machine-Doll wa Kizutsukanai,Action,TV,12,7.39,136751
1978,Machine-Doll wa Kizutsukanai,Ecchi,TV,12,7.39,136751
1978,Machine-Doll wa Kizutsukanai,Fantasy,TV,12,7.39,136751
1978,Machine-Doll wa Kizutsukanai,School,TV,12,7.39,136751
1978,Machine-Doll wa Kizutsukanai,Seinen,TV,12,7.39,136751
1979,Monster Musume no Iru Nichijou,Comedy,TV,12,7.39,181845
1979,Monster Musume no Iru Nichijou,Ecchi,TV,12,7.39,181845
1979,Monster Musume no Iru Nichijou,Fantasy,TV,12,7.39,181845
1979,Monster Musume no Iru Nichijou,Harem,TV,12,7.39,181845
1979,Monster Musume no Iru Nichijou,Romance,TV,12,7.39,181845
1979,Monster Musume no Iru Nichijou,Seinen,TV,12,7.39,181845
1980,Nyan Koi!,Comedy,TV,12,7.39,142264
1980,Nyan Koi!,Harem,TV,12,7.39,142264
1980,Nyan Koi!,Romance,TV,12,7.39,142264
1981,Ookiku Furikabutte: Natsu no Scorebook,Comedy,OVA,2,7.39,2167
1981,Ookiku Furikabutte: Natsu no Scorebook,Sports,OVA,2,7.39,2167
1982,Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,Adventure,Movie,1,7.39,13073
1982,Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,Comedy,Movie,1,7.39,13073
1982,Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,Shounen,Movie,1,7.39,13073
1983,Ranma ½: Nettou Uta Gassen,Comedy,OVA,2,7.39,3676
1983,Ranma ½: Nettou Uta Gassen,Music,OVA,2,7.39,3676
1984,Rumiko Takahashi Anthology,Comedy,TV,13,7.39,3420
1984,Rumiko Takahashi Anthology,Drama,TV,13,7.39,3420
1984,Rumiko Takahashi Anthology,Romance,TV,13,7.39,3420
1984,Rumiko Takahashi Anthology,Shounen,TV,13,7.39,3420
1984,Rumiko Takahashi Anthology,Slice of Life,TV,13,7.39,3420
1984,Rumiko Takahashi Anthology,Supernatural,TV,13,7.39,3420
1985,Saber Marionette J to X,Action,TV,26,7.39,8862
1985,Saber Marionette J to X,Adventure,TV,26,7.39,8862
1985,Saber Marionette J to X,Comedy,TV,26,7.39,8862
1985,Saber Marionette J to X,Harem,TV,26,7.39,8862
1985,Saber Marionette J to X,Mecha,TV,26,7.39,8862
1985,Saber Marionette J to X,Sci-Fi,TV,26,7.39,8862
1986,Sankarea: Wagahai mo... Zombie de Aru...,Comedy,Special,1,7.39,36573
1986,Sankarea: Wagahai mo... Zombie de Aru...,Ecchi,Special,1,7.39,36573
1986,Sankarea: Wagahai mo... Zombie de Aru...,Horror,Special,1,7.39,36573
1986,Sankarea: Wagahai mo... Zombie de Aru...,Romance,Special,1,7.39,36573
1986,Sankarea: Wagahai mo... Zombie de Aru...,Shounen,Special,1,7.39,36573
1986,Sankarea: Wagahai mo... Zombie de Aru...,Supernatural,Special,1,7.39,36573
1987,Shaman King Specials,Action,Special,5,7.39,12148
1987,Shaman King Specials,Comedy,Special,5,7.39,12148
1987,Shaman King Specials,Shounen,Special,5,7.39,12148
1987,Shaman King Specials,Supernatural,Special,5,7.39,12148
1988,Slayers: The Motion Picture,Adventure,Movie,1,7.39,16046
1988,Slayers: The Motion Picture,Comedy,Movie,1,7.39,16046
1988,Slayers: The Motion Picture,Fantasy,Movie,1,7.39,16046
1988,Slayers: The Motion Picture,Magic,Movie,1,7.39,16046
1988,Slayers: The Motion Picture,Shounen,Movie,1,7.39,16046
1989,Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?,Action,OVA,1,7.39,6870
1989,Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?,Comedy,OVA,1,7.39,6870
1989,Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?,Harem,OVA,1,7.39,6870
1989,Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?,Sci-Fi,OVA,1,7.39,6870
1989,Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?,Shounen,OVA,1,7.39,6870
1989,Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?,Space,OVA,1,7.39,6870
1990,The Rose and Women of Versailles,Adventure,Special,1,7.39,1628
1990,The Rose and Women of Versailles,Comedy,Special,1,7.39,1628
1990,The Rose and Women of Versailles,Drama,Special,1,7.39,1628
1990,The Rose and Women of Versailles,Historical,Special,1,7.39,1628
1990,The Rose and Women of Versailles,Romance,Special,1,7.39,1628
1990,The Rose and Women of Versailles,Shoujo,Special,1,7.39,1628
1991,Tsubasa Chronicle: Tori Kago no Kuni no Himegimi,Action,Movie,1,7.39,33633
1991,Tsubasa Chronicle: Tori Kago no Kuni no Himegimi,Adventure,Movie,1,7.39,33633
1991,Tsubasa Chronicle: Tori Kago no Kuni no Himegimi,Drama,Movie,1,7.39,33633
1991,Tsubasa Chronicle: Tori Kago no Kuni no Himegimi,Fantasy,Movie,1,7.39,33633
1991,Tsubasa Chronicle: Tori Kago no Kuni no Himegimi,Shounen,Movie,1,7.39,33633
1992,Abenobashi Mahou☆Shoutengai,Comedy,TV,13,7.38,47752
1992,Abenobashi Mahou☆Shoutengai,Ecchi,TV,13,7.38,47752
1992,Abenobashi Mahou☆Shoutengai,Fantasy,TV,13,7.38,47752
1992,Abenobashi Mahou☆Shoutengai,Parody,TV,13,7.38,47752
1994,Angel Heart,Action,TV,50,7.38,9550
1994,Angel Heart,Drama,TV,50,7.38,9550
1994,Angel Heart,Mystery,TV,50,7.38,9550
1994,Angel Heart,Romance,TV,50,7.38,9550
1994,Angel Heart,Seinen,TV,50,7.38,9550
1995,Area no Kishi,Comedy,TV,37,7.38,38310
1995,Area no Kishi,School,TV,37,7.38,38310
1995,Area no Kishi,Shounen,TV,37,7.38,38310
1995,Area no Kishi,Sports,TV,37,7.38,38310
1996,Ayashi no Ceres,Adventure,TV,24,7.38,38336
1996,Ayashi no Ceres,Comedy,TV,24,7.38,38336
1996,Ayashi no Ceres,Drama,TV,24,7.38,38336
1996,Ayashi no Ceres,Horror,TV,24,7.38,38336
1996,Ayashi no Ceres,Psychological,TV,24,7.38,38336
1996,Ayashi no Ceres,Romance,TV,24,7.38,38336
1996,Ayashi no Ceres,Shoujo,TV,24,7.38,38336
1996,Ayashi no Ceres,Supernatural,TV,24,7.38,38336
1997,Baka to Test to Shoukanjuu Ni!: Mahou Hideyoshi Hideyoshi,Comedy,Special,1,7.38,9418
1997,Baka to Test to Shoukanjuu Ni!: Mahou Hideyoshi Hideyoshi,Magic,Special,1,7.38,9418
1998,Bakemonogatari Recap,Mystery,Special,1,7.38,28557
1998,Bakemonogatari Recap,Romance,Special,1,7.38,28557
1998,Bakemonogatari Recap,Supernatural,Special,1,7.38,28557
1999,Basquash!,Ecchi,TV,26,7.38,30323
1999,Basquash!,Mecha,TV,26,7.38,30323
1999,Basquash!,Shounen,TV,26,7.38,30323
1999,Basquash!,Sports,TV,26,7.38,30323
2000,Black Jack the Movie,Drama,Movie,1,7.38,6404
2001,Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome,Comedy,Movie,1,7.38,1139
2001,Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome,Ecchi,Movie,1,7.38,1139
2001,Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome,Kids,Movie,1,7.38,1139
2001,Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome,School,Movie,1,7.38,1139
2001,Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome,Shounen,Movie,1,7.38,1139
2001,Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome,Slice of Life,Movie,1,7.38,1139
2002,Detective Conan OVA 07: A Challenge from Agasa! Agasa vs. Conan and the Detective Boys,Adventure,OVA,1,7.38,7627
2002,Detective Conan OVA 07: A Challenge from Agasa! Agasa vs. Conan and the Detective Boys,Comedy,OVA,1,7.38,7627
2002,Detective Conan OVA 07: A Challenge from Agasa! Agasa vs. Conan and the Detective Boys,Mystery,OVA,1,7.38,7627
2002,Detective Conan OVA 07: A Challenge from Agasa! Agasa vs. Conan and the Detective Boys,Police,OVA,1,7.38,7627
2002,Detective Conan OVA 07: A Challenge from Agasa! Agasa vs. Conan and the Detective Boys,Shounen,OVA,1,7.38,7627
2003,Doraemon: Nobita&#039;s the Night Before a Wedding,Fantasy,Movie,1,7.38,983
2004,Gakuen Utopia Manabi Straight!,Comedy,TV,12,7.38,19315
2004,Gakuen Utopia Manabi Straight!,School,TV,12,7.38,19315
2004,Gakuen Utopia Manabi Straight!,Slice of Life,TV,12,7.38,19315
2005,Gun x Sword,Action,TV,26,7.38,45921
2005,Gun x Sword,Adventure,TV,26,7.38,45921
2005,Gun x Sword,Drama,TV,26,7.38,45921
2005,Gun x Sword,Mecha,TV,26,7.38,45921
2005,Gun x Sword,Sci-Fi,TV,26,7.38,45921
2005,Gun x Sword,Shounen,TV,26,7.38,45921
2006,Hiiro no Kakera Dai Ni Shou,Fantasy,TV,13,7.38,26617
2006,Hiiro no Kakera Dai Ni Shou,Romance,TV,13,7.38,26617
2006,Hiiro no Kakera Dai Ni Shou,Shoujo,TV,13,7.38,26617
2006,Hiiro no Kakera Dai Ni Shou,Supernatural,TV,13,7.38,26617
2007,Kuruneko Season 2,Comedy,TV,49,7.38,675
2007,Kuruneko Season 2,Slice of Life,TV,49,7.38,675
2008,Kyoushoku Soukou Guyver (2005),Adventure,TV,26,7.38,12337
2008,Kyoushoku Soukou Guyver (2005),Sci-Fi,TV,26,7.38,12337
2008,Kyoushoku Soukou Guyver (2005),Shounen,TV,26,7.38,12337
2009,Lupin III: Fuuma Ichizoku no Inbou,Action,Movie,1,7.38,4018
2009,Lupin III: Fuuma Ichizoku no Inbou,Adventure,Movie,1,7.38,4018
2009,Lupin III: Fuuma Ichizoku no Inbou,Comedy,Movie,1,7.38,4018
2009,Lupin III: Fuuma Ichizoku no Inbou,Shounen,Movie,1,7.38,4018
2010,Mikan Enikki,Comedy,TV,30,7.38,1096
2010,Mikan Enikki,Romance,TV,30,7.38,1096
2010,Mikan Enikki,Shoujo,TV,30,7.38,1096
2010,Mikan Enikki,Slice of Life,TV,30,7.38,1096
2011,Oh! Edo Rocket,Comedy,TV,26,7.38,8221
